patient_id,patient_uid
P00001,183
P00002,473
P00003,446
P00004,472
P00005,300
P00006,50
P00007,132
P00008,54
P00009,431
P00010,240
P00011,39
P00012,177
P00013,248
P00014,228
P00015,420
P00016,99
P00017,96
P00018,16
P00019,81
P00020,68
P00021,309
P00022,158
P00023,186
P00024,175
P00025,190
P00026,365
P00027,202
P00028,64
P00029,17
P00030,178
P00031,328
P00032,302
P00033,495
P00034,425
P00035,451
P00036,19
P00037,74
P00038,294
P00039,217
P00040,188
P00041,395
P00042,235
P00043,291
P00044,129
P00045,293
P00046,206
P00047,360
P00048,181
P00049,429
P00050,17
P00051,151
P00052,255
P00053,491
P00054,45
P00055,303
P00056,480
P00057,201
P00058,285
P00059,390
P00060,407
P00061,144
P00062,85
P00063,23
P00064,351
P00065,432
P00066,442
P00067,179
P00068,29
P00069,327
P00070,424
P00071,368
P00072,105
P00073,418
P00074,61
P00075,399
P00076,233
P00077,426
P00078,499
P00079,282
P00080,397
P00081,25
P00082,275
P00083,2
P00084,380
P00085,199
P00086,425
P00087,456
P00088,455
P00089,34
P00090,310
P00091,427
P00092,150
P00093,331
P00094,143
P00095,436
P00096,437
P00097,345
P00098,49
P00099,86
P00100,173
P00101,73
P00102,335
P00103,385
P00104,109
P00105,225
P00106,393
P00107,12
P00108,82
P00109,263
P00110,389
P00111,236
P00112,317
P00113,290
P00114,349
P00115,126
P00116,412
P00117,175
P00118,367
P00119,304
P00120,111
P00121,376
P00122,215
P00123,288
P00124,491
P00125,124
P00126,299
P00127,94
P00128,309
P00129,305
P00130,176
P00131,118
P00132,93
P00133,111
P00134,356
P00135,330
P00136,194
P00137,256
P00138,88
P00139,130
P00140,380
P00141,48
P00142,381
P00143,250
P00144,89
P00145,115
P00146,247
P00147,31
P00148,274
P00149,27
P00150,450
P00151,423
P00152,51
P00153,334
P00154,97
P00155,148
P00156,454
P00157,471
P00158,149
P00159,28
P00160,490
P00161,402
P00162,475
P00163,278
P00164,362
P00165,405
P00166,102
P00167,375
P00168,222
P00169,422
P00170,215
P00171,30
P00172,301
P00173,487
P00174,359
P00175,62
P00176,283
P00177,220
P00178,6
P00179,52
P00180,387
P00181,232
P00182,425
P00183,185
P00184,18
P00185,167
P00186,58
P00187,386
P00188,14
P00189,139
P00190,5
P00191,484
P00192,141
P00193,65
P00194,246
P00195,252
P00196,72
P00197,204
P00198,283
P00199,265
P00200,203
P00201,494
P00202,315
P00203,485
P00204,409
P00205,67
P00206,332
P00207,47
P00208,273
P00209,35
P00210,270
P00211,355
P00212,22
P00213,314
P00214,398
P00215,145
P00216,236
P00217,17
P00218,7
P00219,466
P00220,446
P00221,112
P00222,120
P00223,288
P00224,347
P00225,186
P00226,104
P00227,457
P00228,174
P00229,361
P00230,370
P00231,195
P00232,8
P00233,237
P00234,112
P00235,454
P00236,303
P00237,382
P00238,57
P00239,230
P00240,366
P00241,319
P00242,280
P00243,189
P00244,192
P00245,413
P00246,463
P00247,214
P00248,257
P00249,374
P00250,184
P00251,322
P00252,193
P00253,77
P00254,312
P00255,242
P00256,259
P00257,499
P00258,371
P00259,11
P00260,200
P00261,373
P00262,106
P00263,32
P00264,194
P00265,354
P00266,391
P00267,493
P00268,372
P00269,33
P00270,58
P00271,79
P00272,321
P00273,389
P00274,296
P00275,50
P00276,42
P00277,277
P00278,164
P00279,339
P00280,140
P00281,337
P00282,361
P00283,40
P00284,226
P00285,141
P00286,322
P00287,249
P00288,417
P00289,142
P00290,127
P00291,133
P00292,231
P00293,435
P00294,465
P00295,229
P00296,364
P00297,177
P00298,259
P00299,476
P00300,163
P00301,496
P00302,434
P00303,111
P00304,69
P00305,326
P00306,63
P00307,467
P00308,286
P00309,26
P00310,238
P00311,266
P00312,482
P00313,113
P00314,218
P00315,55
P00316,3
P00317,333
P00318,125
P00319,433
P00320,254
P00321,197
P00322,100
P00323,295
P00324,323
P00325,213
P00326,234
P00327,38
P00328,313
P00329,244
P00330,126
